intid,main_street,cross_street,main_suffix,cross_suffix,cross_prefix,main_prefix,longitude,latitude
   16790939409,DATA VAULT,ENGLISH STATION,DR,RD,N, ,-85.5105894846762,38.2454078997078
   16817541990,DONOHUE,EVERGREEN,AVE,RD, , ,-85.5307071683191,38.246881489068
   16919904763,EVERGREEN,OLD SHELBYVILLE,RD,RD, , ,-85.5297266249417,38.2442980398859
   17026874763,AMBLING,OLD SHELBYVILLE,WAY,RD, , ,-85.530383568403,38.244353059352
   17247638144,OLD SHELBYVILLE,MIDDLETOWN,RD,SQ, , ,-85.5273213293158,38.2440801263264
   17340774763,JUNEAU,OLD SHELBYVILLE,DR,RD, , ,-85.5252786511234,38.2438877265044
   17519902008,EVERGREEN,EVERGREEN,RD,RD,S, ,-85.5297578015415,38.2429544272793
   17519904186,EVERGREEN,MARENGO,RD,DR, , ,-85.5297578015415,38.2429544272793
   17520084186,EVERGREEN,MARENGO,RD,DR, ,S,-85.5297578015415,38.2429544272793
   17739123914,CREEK RUN,CREEK RIDGE,DR,RD, , ,-85.4325189086896,38.2435863176669
   17999539996,I 265 SOUTH,I 265 RAMP, , , , ,-85.5035384874185,38.2456246282779
   18059409996,SHELBYVILLE,I 265 RAMP,RD, , , ,-85.5047078701445,38.2421080105623
   1819931D102,BRIDGEMORE,BRIDGE HILL,LN,CT, , ,-85.4125418441004,38.2430303079016
   18441869407,MARENGO,MEADOW,DR,LN, , ,-85.5284273573137,38.2398991774407
   18558469407,SCARSDALE,MEADOW,RD,LN, , ,-85.5261506591299,38.2399566954523
   18609769407,CAROLDALE,MEADOW,LN,LN, , ,-85.5295294294343,38.2398744089106
   18739355118,LONG RUN,POPE DALE,RD,RD, , ,-85.4239412882001,38.2469994021026
   18839123935,CREEK RUN,LONG RUN,DR,RD, , ,-85.4307711892651,38.2402067381144
   18915215846,DAVIDSON,SCARSDALE,DR,RD, , ,-85.5259174224845,38.2390679068821
   19015214186,DAVIDSON,MARENGO,DR,DR, , ,-85.5284635048896,38.2388617234024
   19199539996,I 265 SOUTH,I 265 RAMP, , , , ,-85.5042054910037,38.2387760101306
   19215213278,DAVIDSON,WESTWOOD,DR,DR, , ,-85.5308388141305,38.2384747302174
   19355075846,RIDGE CREST,SCARSDALE,DR,RD, , ,-85.5257148854242,38.2380931330484
   19441865507,MARENGO,RIDGE CREST,DR,DR, , ,-85.5284957978943,38.2378773454275
   19532785507,WESTWOOD,RIDGE CREST,DR,DR, , ,-85.530430156203,38.2375387843049
   19628085846,HARDWICK,SCARSDALE,RD,RD, , ,-85.5256113491187,38.237426919706
   19837928861,LEDGES,LEDGES,DR,CT, , ,-85.5213621612218,38.2370340288212
   19928084186,HARDWICK,MARENGO,RD,DR, , ,-85.528269350031,38.2366833070257
   20006846777,BRIGHTFIELD,CREEKVALLEY,DR,RD, , ,-85.5231827124363,38.2369452272382
   20137926777,LEDGES,CREEKVALLEY,DR,RD, , ,-85.5222908515146,38.2363894562839
   20237926777,LEDGES,CREEKVALLEY,DR,RD, , ,-85.5221933370965,38.2364242669895
   20328083278,HARDWICK,WESTWOOD,RD,DR, , ,-85.5298812859239,38.2362526790051
   20413546777,CROSSWINDS,CREEKVALLEY,DR,RD, , ,-85.521448158351,38.2357013256472
   20506844186,BRIGHTFIELD,MARENGO,DR,DR, , ,-85.5277689591871,38.2356019454995
   20737924186,LEDGES,MARENGO,DR,DR, , ,-85.5269473809779,38.2349664166622
   20859406904,SHELBYVILLE,BIRCHAM,RD,RD, , ,-85.4769258887999,38.2359701048243
   20969046905,BIRCHAM,BURLEIGH,RD,CT, , ,-85.4769225845827,38.2352580667308
   21068216905,BURLEIGH,BURLEIGH,PL,CT, , ,-85.4781458936053,38.2351365304269
   21207056777,BROOKGREEN,CREEKVALLEY,DR,RD, , ,-85.521682267372,38.2345098085364
   21469046907,BIRCHAM,DORSHIRE,RD,CT, , ,-85.4759503943187,38.2347986169012
   21513544186,CROSSWINDS,MARENGO,DR,DR, , ,-85.5265804274349,38.2341954646765
   21669046913,BIRCHAM,WILLOUGHBY,RD,CT, , ,-85.4743438286488,38.2346897978908
   21740236777,LIVE OAK,CREEKVALLEY,DR,RD, , ,-85.521722034256,38.2336260196511
   21807054186,BROOKGREEN,MARENGO,DR,DR, , ,-85.5262079244078,38.2334302364095
   21907051354,BROOKGREEN,CROSSWINDS,DR,DR, , ,-85.5298879215574,38.2331956578999
   22013546551,CROSSWINDS,TUCKER STATION,DR,RD, , ,-85.530772651394,38.2329202544773
   22107051849,BROOKGREEN,ECHO BRIDGE,DR,RD, , ,-85.5277997428984,38.2329480202525
   22318496777,ECHO BRIDGE,CREEKVALLEY,RD,RD, , ,-85.521677026047,38.2327932734671
   22440234186,LIVE OAK,MARENGO,DR,DR, , ,-85.5258309422941,38.232657332025
   22618494186,ECHO BRIDGE,MARENGO,RD,DR, , ,-85.5254470586644,38.2318627032836
   22722616777,FARMBROOK,CREEKVALLEY,DR,RD, , ,-85.5216953950806,38.2318536763358
   23022614186,FARMBROOK,MARENGO,DR,DR, , ,-85.5251110903327,38.2310452365656
   23145995677,POPE LICK,ROCKBRIDGE,RD,RD, ,N,-85.5232420627031,38.2305089972633
   23145996711,POPE LICK,URTON,RD,LN, ,N,-85.5232420627031,38.2305089972633
   23156776711,ROCKBRIDGE,URTON,RD,LN, , ,-85.5232420627031,38.2305089972633
   23311605940,CLARK STATION,SHELBYVILLE,RD,RD, , ,-85.4254211842035,38.2354269970953
   2331160D759,CLARK STATION,LOCUST CREEK,RD,BLVD, , ,-85.4254211842035,38.2354269970953
   2335940D759,SHELBYVILLE,LOCUST CREEK,RD,BLVD, , ,-85.4254211842035,38.2354269970953
   23899539996,I 265 SOUTH,I 265 RAMP, , , , ,-85.5056918328286,38.2232640534865
   23999549996,I 64 WEST,I 265 RAMP, , , , ,-85.5064074837167,38.2229012271155
   24360646551,POPE LICK,TUCKER STATION,RD,RD, ,S,-85.524818871876,38.2179098008231
   24518512525,ECHO,GILLILAND,TRL,RD, , ,-85.4604694358786,38.2176898031724
   24851226064,POPLAR,POPE LICK,LN,RD,S, ,-85.5045468263991,38.2115642932019
   2516304D015,SPOTSWOOD,SANNER RIDGE,LN,LN, , ,-85.4265902312886,38.2109226873995
   25263049440,SPOTSWOOD,ART,LN,LN, , ,-85.427815185865,38.2108014282134
   25462906304,CLARK RIDGE,SPOTSWOOD,RD,LN, , ,-85.4246663617153,38.2105230867242
   25754646064,REHL,POPE LICK,RD,RD,S, ,-85.4994527803611,38.2074366181918
   25854647663,REHL,REHL,RD,CT,E, ,-85.5018714130373,38.2061053245
   25948357663,SHADY HILL,REHL,TRL,CT,E, ,-85.5022430547681,38.2054550199151
   26482668297,PACELLI,NANSEMOND,PL,CIR, , ,-85.5299929734494,38.3064413536123
   26593479948,BAY RUN,BAYS END,DR,CT, , ,-85.5282785140224,38.3070114093626
   26882968299,NANSEMOND,NANSEMOND,CT,PL, , ,-85.5313118377173,38.3061526244517
   26946418266,NANSEMOND,PACELLI,DR,PL, , ,-85.529757443784,38.3059316739135
   27093479685,BAY RUN,ARWINE,DR,CT, , ,-85.5266449090853,38.305921222702
   27146418297,NANSEMOND,NANSEMOND,DR,CIR, , ,-85.5302244167944,38.3058054673817
   27246418299,NANSEMOND,NANSEMOND,DR,PL, , ,-85.5309675533155,38.305603027819
   27313918266,EASTBAY,PACELLI,CT,PL, , ,-85.5297078790112,38.3054679245668
   27546418296,NANSEMOND,NANSEMOND,DR,CT, , ,-85.5319346143593,38.305252837096
   27713928266,HIDEAWAY,PACELLI,CT,PL, , ,-85.5278005472617,38.3049701825619
   28012247132,COLLINS,WESTPORT,LN,RD, , ,-85.5242920059551,38.3042354170978
   28110531224,CHAMBERLAIN,COLLINS,LN,LN, , ,-85.5158835105639,38.2898711401733
   28347569996,OLD HENRY,I 265 RAMP,RD, , , ,-85.4957218454836,38.2719824490832
   2834756E294,OLD HENRY,TERRA CROSSING,RD,BLVD, , ,-85.4957218454836,38.2719824490832
   2839996E294,I 265 RAMP,TERRA CROSSING, ,BLVD, , ,-85.4957218454836,38.2719824490832
   28737078784,LA GRANGE,ANCHORAGE POINTE,RD, , , ,-85.5294387196095,38.2633893177393
   28825495503,GLENBROOK,RIDGE,RD,RD, , ,-85.5314403647581,38.262307626148
   29025497293,GLENBROOK,WOODLAND,RD,RD, , ,-85.5308763193761,38.2605704811189
   29140256238,LOG CABIN,SURREY,LN,LN, , ,-85.5271767259804,38.2594477748582
   29225494025,GLENBROOK,LOG CABIN,RD,LN, , ,-85.530117343415,38.2583172488188
   29347565790,OLD HENRY,ST CLAIR,RD,DR, , ,-85.523260390915,38.2578755545502
   29441155790,MACKINAW,ST CLAIR,DR,DR, , ,-85.5222267730042,38.2568032435503
   29647566238,OLD HENRY,SURREY,RD,LN, , ,-85.5261083477151,38.2559562438798
   29846955912,PARKWAY,SHADY,RD,LN, , ,-85.5310199533326,38.2551136985379
   30047569429,OLD HENRY,EVERGREEN PLACE,RD,CT, , ,-85.5308578689558,38.2526130260255
   30147569722,OLD HENRY,DONALD NEWTON,RD,LN, , ,-85.5302464758655,38.2528495544836
   3029700D101,MAGISTERIAL,STANLEY GAULT,DR,PKY, , ,-85.5111471373348,38.2677975593824
   30305062911,BERRYTOWN,WOODBROOK,RD,CT, , ,-85.5206054015001,38.2689408419698
   30429102911,HIAWATHA,WOODBROOK,AVE,CT, , ,-85.5200558729147,38.2673966384015
   30637076767,LA GRANGE,HEAFER,RD,RD, , ,-85.525532599607,38.2672271785819
   30729106767,HIAWATHA,HEAFER,AVE,RD, , ,-85.5245143453272,38.2662659670845
   30967676768,HEAFER,HERSFIELD,RD,RD, , ,-85.5242463100663,38.2656063547887
   31067666768,HAGEN,HERSFIELD,RD,RD, , ,-85.5258186505684,38.2651733637835
   31167679762,HEAFER,ALFRED BERRY,RD,CT, , ,-85.5240673516641,38.2651646545542
   31267676771,HEAFER,PARK FIELD,RD,RD, , ,-85.5238609804667,38.2646637826214
   31367666771,HAGEN,PARK FIELD,RD,RD, , ,-85.5255115660613,38.2642401823566
   31628954763,WOODED FALLS,OLD SHELBYVILLE,RD,RD, , ,-85.5221545041242,38.2436068381741
   31747635940,OLD SHELBYVILLE,SHELBYVILLE,RD,RD, , ,-85.5204140981666,38.2437471350876
   31800325606,AIKEN,TOWNE CREEK,RD,RD, , ,-85.5184542082173,38.2435080588319
   31800325940,AIKEN,SHELBYVILLE,RD,RD, , ,-85.5184542082173,38.2435080588319
   31856065940,TOWNE CREEK,SHELBYVILLE,RD,RD, , ,-85.5184542082173,38.2435080588319
   31900326899,AIKEN,VALE,RD,RD, , ,-85.5179924042349,38.24552926396
   32028952924,WOODED FALLS,TOWNEPARK,RD,WAY, , ,-85.5222306396195,38.2430330681165
   32128955663,WOODED FALLS,EASTERN WOOD,RD,CT, , ,-85.5222819583892,38.242657814745
   32229245606,TOWNEPARK,TOWNE CREEK,WAY,RD, , ,-85.5186346870957,38.2426763818621
   32359406711,SHELBYVILLE,URTON,RD,LN, , ,-85.5096184783951,38.2425667823395
   32359409409,SHELBYVILLE,ENGLISH STATION,RD,RD,N, ,-85.5096184783951,38.2425667823395
   32367119409,URTON,ENGLISH STATION,LN,RD,N, ,-85.5096184783951,38.2425667823395
   32641846711,MARCUS,URTON,AVE,LN, , ,-85.5092685815768,38.2418515733372
   33055845606,TOWNE CREEK,TOWNE CREEK,CT,RD, , ,-85.5199520343176,38.2414576971333
   33159409996,SHELBYVILLE,I 265 RAMP,RD, , , ,-85.5068734571462,38.2422658903809
   33228955606,WOODED FALLS,TOWNE CREEK,RD,RD, , ,-85.5214722866888,38.2407378586689
   33575407561,WOODED CROWN,WOODED FOREST,RD,RD, , ,-85.5176300304776,38.2394065298985
   33637927561,LEDGES,WOODED FOREST,DR,RD, , ,-85.5162007753454,38.2385646888079
   33737927540,LEDGES,WOODED CROWN,DR,RD, , ,-85.5171427221955,38.2381848233344
   33837927561,LEDGES,WOODED FOREST,DR,RD, , ,-85.5186964685466,38.2376892571591
   33928953792,WOODED FALLS,LEDGES,RD,DR, , ,-85.5205318372101,38.237563141322
   34288108811,WILLOW GROVE,WILLOW GROVE,WAY,CT, , ,-85.4964316954916,38.2512416999508
   34487488810,WILLOW GROVE,WILLOW GROVE,CIR,WAY, , ,-85.4945800974864,38.2509525775812
   34676308809,LAKE FOREST,ELM HILL,PKY,PL, , ,-85.4929947148069,38.2509558156062
   34776308813,LAKE FOREST,HARVEST GROVE,PKY,WAY, , ,-85.4917973172169,38.2509152584631
   34876308748,LAKE FOREST,WILLOW GROVE,PKY,CIR, , ,-85.4910032467937,38.250683401309
   34976308748,LAKE FOREST,WILLOW GROVE,PKY,CIR, , ,-85.4934975003912,38.2504977603114
   35076308643,LAKE FOREST,MAPLE GLENN,PKY,PL, , ,-85.4879998654459,38.2503450462016
   35176308562,LAKE FOREST,BROAD OAK,PKY,PL, , ,-85.4897327573179,38.2502111503289
   35288128813,HARVEST GROVE,HARVEST GROVE,CT,WAY, , ,-85.4920138191338,38.2501347360287
   35376308359,LAKE FOREST,OAK BRANCH,PKY,RD, , ,-85.4887662393326,38.2501534325429
   35867256726,BROMWELL,BECKLEY,DR,TRCE, , ,-85.493899759593,38.2495079137974
   35867257630,BROMWELL,LAKE FOREST,DR,PKY, , ,-85.493899759593,38.2495079137974
   35867267630,BECKLEY,LAKE FOREST,TRCE,PKY, , ,-85.493899759593,38.2495079137974
   36201120113,VILLAGE LAKE,WATERS EDGE,DR,DR, , ,-85.4976670459422,38.2487272689852
   36383598564,OAK BRANCH,OAK BLUFF,RD,CT, , ,-85.4897349126929,38.2488072760346
   36567257398,BROMWELL,TIMBERLAKE,DR,TRL, , ,-85.4942296312812,38.2486894481329
   36889018902,ASHMONT,ASHMONT,CT,PL, , ,-85.4876721188541,38.2485852527929
   37076308902,LAKE FOREST,ASHMONT,PKY,PL, , ,-85.4864858183445,38.2482732455917
   37267256731,BROMWELL,TREE CREST,DR,CT, , ,-85.4936806759559,38.2479262367281
   37376308412,LAKE FOREST,WOODLAKE,PKY,DR, , ,-85.4872306476151,38.2477123303946
   37467256727,BROMWELL,BROMWELL,DR,CT, , ,-85.4931363574606,38.2475873800591
   37501120113,VILLAGE LAKE,WATERS EDGE,DR,DR, , ,-85.4981503640333,38.2474173741191
   37676308322,LAKE FOREST,GLENSFORD,PKY,DR, , ,-85.4883884835169,38.247248814678
   37701126730,VILLAGE LAKE,OLD STATION,DR,RD, , ,-85.4984294085658,38.2471397655863
   38083598563,OAK BRANCH,OAK BRANCH,RD,CT, , ,-85.490635119287,38.2470481799644
   38176308360,LAKE FOREST,EDGEFOREST,PKY,PL, , ,-85.4892124958898,38.2469421053607
   38476308359,LAKE FOREST,OAK BRANCH,PKY,RD, , ,-85.4900472257884,38.2464476692778
   38583228323,GLENSFORD,GLENSFORD,DR,PL, , ,-85.4880348972596,38.2460668676819
   38676308913,LAKE FOREST,LAKE FOREST,PKY,DR, , ,-85.4906408410354,38.2459815417789
   38767256728,BROMWELL,BECKLEY WOODS,DR,DR, , ,-85.4929672843739,38.2459084872172
   38983228347,GLENSFORD,LAKE POINTE,DR,TRCE, , ,-85.4881952498658,38.2455145433941
   39119778913,WAKEFIELD,LAKE FOREST,TRCE,DR, , ,-85.4894750834618,38.2450095588221
   39283228913,GLENSFORD,LAKE FOREST,DR,DR, , ,-85.4886803700594,38.2447102384002
   39380938913,WORTHING,LAKE FOREST,CT,DR, , ,-85.4878689443619,38.2438896443918
   39589139983,LAKE FOREST,BECKLEY STATION,DR,RD,N, ,-85.4861092868385,38.2427490200217
   39694709983,BROOK FOREST,BECKLEY STATION,PL,RD,N, ,-85.4865311011499,38.2419387925403
   40059409567,SHELBYVILLE,VALHALLA VIEW,RD,DR, , ,-85.4811402082979,38.2370472499065
   40387079482,GLENDOWER,OXFORD HILL,DR,CT, , ,-85.4829214197216,38.2306749051426
   40485778707,MICAWBER,GLENDOWER,WAY,DR, , ,-85.4830705527784,38.2300002396041
   40687078717,GLENDOWER,LOCUST POINTE,DR,PL, , ,-85.4834865237552,38.2293803407227
   40786658717,ASHBURTON,LOCUST POINTE,DR,PL, , ,-85.4830081343654,38.2289377535373
   40986668717,CAMBERWELL,LOCUST POINTE,CT,PL, , ,-85.4831801868107,38.228254521058
   412D150D151,BUCKLAND,DONNINGTON,TRCE,CT, , ,-85.4484195022681,38.2389442497522
   413D152E362,CHALFORD,TADDINGTON,RD,PL, , ,-85.4451752128301,38.239179317611
   414D150D152,BUCKLAND,CHALFORD,TRCE,RD, , ,-85.4459511768866,38.2387972527162
   41507543935,LONG RUN HILL,LONG RUN,PL,RD, , ,-85.4391506266473,38.2380489005635
   417D149D150,COTSWOLD GREEN,BUCKLAND,LN,TRCE, , ,-85.4458541935338,38.2370662361472
   4182236D149,FLAT ROCK,COTSWOLD GREEN,RD,LN, , ,-85.4446215292548,38.2372764625471
   4182236D155,FLAT ROCK,KILCOTT,RD,WAY, , ,-85.4446215292548,38.2372764625471
   418D149D155,COTSWOLD GREEN,KILCOTT,LN,WAY, , ,-85.4446215292548,38.2372764625471
   41939355940,LONG RUN,SHELBYVILLE,RD,RD, , ,-85.4393158710854,38.2371179934244
   42159408994,SHELBYVILLE,ASH RUN,RD,RD, , ,-85.4429343780976,38.2361954683937
   42289948995,ASH RUN,ASH GLEN,RD,RD, , ,-85.4426060594089,38.2354540793592
   42489948996,ASH RUN,ASH HILL,RD,DR, , ,-85.4413679569198,38.2352832863345
   42559409907,SHELBYVILLE,CHESTNUT GLEN,RD,DR, , ,-85.4455227514047,38.2355481777586
   42699079908,CHESTNUT GLEN,CHESTNUT GLEN,DR,PL, , ,-85.4452301350692,38.2350632862786
